前任4：英年早婚,2023-09-28 18:00大陆上映,8.7,10.12
人潮汹涌,2021-02-12大陆上映,9.0,7.62
X战警：逆转未来,2014-05-23大陆上映,9.0,7.22
熊出没·狂野大陆,2021-02-12 08:00大陆上映,8.9,5.95
冰雪奇缘2,2019-11-22大陆上映,8.9,8.60
功夫熊猫3,2016-01-29大陆上映,9.0,10.00
白蛇2：青蛇劫起,2021-07-23 09:00大陆上映,9.0,5.80
狄仁杰之四大天王,2018-07-27大陆上映,8.1,6.06
1921,2021-07-01大陆上映,9.4,5.04
新神榜：杨戬,2022-08-19 09:00大陆上映,8.8,5.55
末日崩塌,2015-06-02大陆上映,9.1,6.28
你想活出怎样的人生,2024-04-03 18:00大陆上映,8.5,7.87
使徒行者2：谍影行动,2019-08-07大陆上映,9.0,7.02
我不是潘金莲,2016-11-18大陆上映,7.8,4.82
雷神3：诸神黄昏,2017-11-03大陆上映,8.9,7.43
星球大战：原力觉醒,2016-01-09大陆上映,8.2,8.24
007：幽灵党,2015-11-13大陆上映,8.0,5.41
巨齿鲨2：深渊,2023-08-04 09:00大陆上映,8.9,8.51
金刚狼3：殊死一战,2017-03-03大陆上映,8.6,7.30
人生路不熟,2023-04-28 18:00大陆上映,9.2,11.84
终结者：创世纪,2015-08-23大陆上映,8.9,7.22
钢铁侠3,2013-05-01大陆上映,9.0,7.54
金手指,2023-12-30 09:00大陆上映,9.1,5.74
奇异博士,2016-11-04大陆上映,8.9,7.50
摩天营救,2018-07-20大陆上映,9.1,6.69
天将雄师,2015-02-19大陆上映,8.3,7.42
你的婚礼,2021-04-30大陆上映,8.0,8.22
碟中谍5：神秘国度,2015-09-08大陆上映,9.0,8.68
哥，你好,2022-09-09 12:00大陆上映,9.1,5.47
少年派的奇幻漂流,2012-11-22大陆上映,9.0,5.72
拯救嫌疑人,2023-11-01 12:00大陆上映,9.0,5.69
古墓丽影：源起之战,2018-03-16大陆上映,8.3,4.97
除暴,2020-11-20大陆上映,8.6,5.38
神偷奶爸3,2017-07-07大陆上映,8.8,10.37
变形金刚：超能勇士崛起,2023-06-09大陆上映,9.0,6.55
神奇女侠,2017-06-02大陆上映,8.6,6.10
长空之王,2023-04-28 09:00大陆上映,9.5,8.50
中国合伙人,2013-05-17大陆上映,8.9,5.40
大闹天竺,2017-01-28大陆上映,7.4,7.56
06
西游记女儿国,2018-02-16大陆上映,7.9,7.27
蚁人,2015-10-16大陆上映,8.9,6.70
使徒行者,2016-08-11大陆上映,8.8,6.05
李茶的姑妈,2018-09-30大陆上映,7.9,6.04
金陵十三钗,2011-12-15大陆上映,8.3,5.92
从你的全世界路过,2016-09-29大陆上映,8.6,8.13
西游记之大圣归来,2015-07-10大陆上映,9.3,9.54
超时空同居,2018-05-18大陆上映,8.7,9.03
小时代,2013-06-27大陆上映,7.6,4.84
杀破狼·贪狼,2017-08-17大陆上映,8.5,5.22
美女与野兽,2017-03-17大陆上映,8.2,5.90
反贪风暴5：最终章,2021-12-31 12:31大陆上映,8.4,6.28
猩球崛起2：黎明之战,2014-08-29大陆上映,9.0,7.07
狄仁杰之神都龙王,2013-09-28大陆上映,8.3,6.00
铃芽之旅,2023-03-24 09:00大陆上映,9.0,8.07
人再囧途之泰囧,2012-12-12大陆上映,8.7,12.70
超能陆战队,2015-02-28大陆上映,9.5,5.26
三大队,2023-12-15 09:00大陆上映,9.3,7.05
厉害了，我的国,2018-03-02大陆上映,9.6,4.80
黑衣人3,2012-05-25大陆上映,8.3,5.03
狙击手,2022-02-01 08:00大陆上映,9.5,6.08
勇敢者游戏：决战丛林,2018-01-12大陆上映,8.6,4.91
绝地逃亡,2016-07-21大陆上映,8.5,8.87
分手大师,2014-06-27大陆上映,8.4,6.65
愤怒的小鸟,2016-05-20大陆上映,8.7,5.12
环太平洋,2013-07-31大陆上映,8.7,6.95
熊出没·奇幻空间,2017-01-28大陆上映,9.1,5.21
九层妖塔,2015-09-30大陆上映,5.7,6.81
哥斯拉,2014-06-13大陆上映,8.3,4.81
来电狂响,2018-12-28大陆上映,8.6,6.41
紧急救援,2020-12-18 08:00大陆上映,9.2,4.85
滚蛋吧！肿瘤君,2015-08-13大陆上映,9.0,5.10
小时代4：灵魂尽头,2015-07-09大陆上映,8.3,4.84
情圣,2016-12-30大陆上映,8.6,6.57
追龙,2017-09-30大陆上映,9.0,5.77
铁道飞虎,2016-12-23大陆上映,8.5,6.99
你的名字。,2016-12-02大陆上映,9.2,5.75
超凡蜘蛛侠2,2014-05-04大陆上映,9.0,5.85
复仇者联盟,2012-05-05大陆上映,8.8,5.68
涉过愤怒的海,2023-11-25 10:00大陆上映,8.8,5.49
十二生肖,2012-12-20大陆上映,(2020-07-19),8.81
我在时间尽头等你,2020-08-25大陆上映,8.1,5.05
一条狗的使命,2017-03-03大陆上映,8.9,6.07
失控玩家,2021-08-27大陆上映,8.9,6.12
无名,2023-01-22 09:00大陆上映,9.0,9.31
热烈,2023-07-28 10:00大陆上映,9.4,9.13
致我们终将逝去的青春,2013-04-26大陆上映,8.3,7.19
盗梦空间,2010-09-01大陆上映,9.0,4.96
爱情公寓,2018-08-10大陆上映,6.8,5.55
志愿军：雄兵出击,2023-09-28 18:00大陆上映,9.6,8.68
警察故事2013,2013-12-24大陆上映,8.0,5.34
悬崖之上,2021-04-30 18:00大陆上映,9.1,11.91
无名之辈,2018-11-16大陆上映,9.0,7.94
唐人街探案,2015-12-31大陆上映,9.0,8.23
狼图腾,2015-02-19大陆上映,8.3,7.00
大鱼海棠,2016-07-08大陆上映,8.4,5.73
战狼,2015-04-02大陆上映,9.3,5.44
爸爸去哪儿,2014-01-31大陆上映,8.4,6.96
复仇者联盟4：终局之战,2019-04-24大陆上映,9.1,42.50
长津湖之水门桥,2022-02-01 08:00大陆上映,9.6,40.67
满江红,2023-01-22 09:00大陆上映,9.4,45.44
我和我的家乡,2020-10-01 08:00大陆上映,9.1,28.29
你好，李焕英,2021-02-12 08:00大陆上映,9.5,54.13
流浪地球2,2023-01-22 09:00大陆上映,9.3,40.29
孤注一掷,2023-08-08 09:00大陆上映,9.1,38.48
唐人街探案3,2021-02-12 08:00大陆上映,8.8,45.23
八佰,2020-08-21 09:00大陆上映,9.2,31.10
长津湖,2021-09-30 09:30大陆上映,9.5,57.75
中国机长,2019-09-30大陆上映,9.4,29.13
唐人街探案2,2018-02-16 08:00大陆上映,9.0,33.97
消失的她,2023-06-22 09:00大陆上映,9.2,35.23
我不是药神,2018-07-05大陆上映,9.6,31.00
速度与激情8,2017-04-14大陆上映,9.3,26.70
美人鱼,2016-02-08大陆上映,9.0,33.91
八角笼中,2023-07-06 09:00大陆上映,9.5,22.07
我和我的祖国,2019-09-30大陆上映,9.7,31.70
飞驰人生2,2024-02-10 09:00大陆上映,9.5,33.98
战狼2,2017-07-27 20:01大陆上映,9.7,56.94
这个杀手不太冷静,2022-02-01 08:00大陆上映,9.1,26.27
哪吒之魔童降世,2019-07-26大陆上映,9.6,50.35
独行月球,2022-07-29 09:00大陆上映,9.2,31.03
魔兽,2016-06-08大陆上映,9.0,14.68
长安三万里,2023-07-08 09:00大陆上映,9.4,18.24
复仇者联盟2：奥创纪元,2015-05-12大陆上映,8.6,14.61
封神第一部,2023-07-20 18:00大陆上映,9.4,26.34
无双,2018-09-30大陆上映,8.9,12.73
熊出没·伴我“熊芯”,2023-01-22 09:00大陆上映,9.2,14.95
速度与激情9,2021-05-21大陆上映,7.9,13.92
阿凡达：水之道,2022-12-16大陆上映,9.0,16.98
红海行动,2018-02-16大陆上映,9.4,36.52
羞羞的铁拳,2017-09-30大陆上映,9.1,22.13
泰坦尼克号,1998-04-03大陆上映,9.6,13.65
年会不能停！,2023-12-29 12:00大陆上映,9.6,12.92
碟中谍6：全面瓦解,2018-08-31大陆上映,9.0,12.45
速度与激情7,2015-04-12大陆上映,9.6,24.23
侏罗纪世界2,2018-06-15大陆上映,8.6,16.95
姜子牙,2020-10-01 08:00大陆上映,8.3,16.03
万里归途,2022-09-30 18:00大陆上映,9.5,15.93
西游·降魔篇,2013-02-10大陆上映,8.4,12.46
误杀2,2021-12-17 18:00大陆上映,9.0,11.21
西虹市首富,2018-07-27大陆上映,9.2,25.47
一出好戏,2018-08-10大陆上映,8.2,13.55
西游伏妖篇,2017-01-28大陆上映,7.7,16.52
金刚：骷髅岛,2017-03-24大陆上映美国队长3,2016-05-06大陆上映,8.6,12.43
流浪地球,2019-02-05大陆上映,9.2,46.87
复仇者联盟3：无限战争,2018-05-11大陆上映,9.0,23.90
前任3：再见前任,2017-12-29大陆上映,9.1,19.41
哥斯拉大战金刚2：帝国崛起,2024-03-29 09:00大陆上映,9.4,9.50
扫毒2天地对决,2019-07-05大陆上映,9.0,13.12
极限特工：终极回归,2017-02-10大陆上映,8.7,11.25
第二十条,2024-02-10 09:00大陆上映,9.5,24.54
攀登者,2019-09-30大陆上映,9.4,11.04
烈火英雄,2019-08-01大陆上映,9.4,17.06
港囧,2015-09-25大陆上映,8.4,16.11
变形金刚5：最后的骑士,2017-06-23大陆上映,7.5,15.51
误杀,2019-12-13大陆上映,9.4,13.33
捉妖记,2015-07-16大陆上映,9.1,24.36
我和我的父辈,2021-09-30 18:00大陆上映,9.5,14.77
毒液：致命守护者,2018-11-09大陆上映,9.2,18.70
拆弹专家2,2020-12-24 10:00大陆上映,9.2,13.14
��映,7.7,11.98
摔跤吧！爸爸,2017-05-05大陆上映,9.8,12.99
大黄蜂,2019-01-04大陆上映,9.1,11.49
捉妖记2,2018-02-16 06:00大陆上映,8.2,22.37
奇迹·笨小孩,2022-02-01 08:00大陆上映,9.5,13.79
哥斯拉大战金刚,2021-03-26 08:00大陆上映,8.9,12.32
头号玩家,2018-03-30大陆上映,9.0,13.96
送你一朵小红花,2020-12-31 18:00大陆上映,9.2,14.32
金刚川,2020-10-23 08:00大陆上映,9.4,11.27
生化危机：终章,2017-02-24大陆上映,8.5,11.09
热烈,2023-07-28 10:00大陆上映,9.4,9.13
阿凡达,2010-01-04大陆上映,9.4,17.15
西游记之大闹天宫,2014-01-31大陆上映,5.2,10.44
怒火·重案,2021-07-30大陆上映,9.3,13.29
熊出没·逆转时空,2024-02-10 09:00大陆上映,9.4,19.97
超时空同居,2018-05-18大陆上映,8.7,9.03
盗墓笔记,2016-08-05大陆上映,8.0,10.03
碟中谍5：神秘国度,2015-09-08大陆上映,9.0,8.68
人生路不熟,2023-04-28 18:00大陆上映,9.2,11.84
坚如磐石,2023-09-28 18:00大陆上映,8.7,13.51
乘风破浪,2017-01-28大陆上映,8.7,10.46
寻龙诀,2015-12-18大陆上映,9.1,16.79
加勒比海盗5：死无对证,2017-05-26大陆上映,8.9,11.80
蜘蛛侠：英雄远征,2019-06-28大陆上映,9.0,14.17
速度与激情10,2023-05-17大陆上映,8.8,9.84
奇异博士,2016-11-04大陆上映,8.9,7.50
刺杀小说家,2021-02-12 08:00大陆上映,8.6,10.35
澳门风云3,2016-02-08大陆上映,6.9,11.16
